,,,,,,,,,,,,,Condiciones,,,Prácticas, ,,Efectos,,,,
,,,,,,,,,,,,,SubInd1,SubInd2,,SubInd1,SubInd2,,SubInd1,SubInd2,,,
,,,,,,,,,,,,,Promedio,Promedio,,Promedio,Promedio,,Promedio,Promedio,,,
,,,,,,,,,,,,,"2,68631869519772E-17","-2,74276037136031E-17",,"-9,45779438400106E-18","-3,20344648490358E-17",,"6,01637758879035E-17","1,66335145101851E-16",,,
,,,,,,,,,,,,,SD,SD,,SD,SD,,SD,SD,,,
,,,,,,,,,,,,,1,1,,1,1,,1,"1,00000000000001",,,
,,,,,,,,,,,,,min,min,,min,min,,min,min,,,
,,,,,,,,,,,,,"-1,64652103761143","-3,29201877727455",,"-1,91250081746885","-3,28173029145562",,"-1,17484441345048","-1,42472754782227",,,
,,,,,,,,,,,,,max,max,,max,max,,max,max,,,
,,10,11,14,15,,,16,17,18,19,,"5,40121626866674","1,91924845396168",,"3,69963209122766","1,86906231464581",,"3,01185708820631","2,37176668881713",,,
Orden,Comuna,Barrio,ComunaParticipa,Sexo,Nacimiento,Edad,Rango etario,PertenenciaEtnica,PertenenciaGrupo,Educación,Ocupación,Zona,SubInd1,SubInd2,Global C,SubInd1,SubInd2,Global P,SubInd1,SubInd2,Global E,Indice de Participación 3,Indice de Participación 5
1,1 POPULAR,La 1001011	LA AVANZADA,1	POPULAR,Femenino,1985,34,Adulto,Sin pertenencia étnica,Desplazados o víctima del Conflicto Armado,Básica Secundaria,Empleado,Nororiental,"0,1728929182326","0,550696678747977","0,361794798490289","0,248861968276125","0,525166712520369","0,387014340398247","0,725953533486197","0,163313216844322","0,44463337516526","0,40","0,35"
10,1 POPULAR,Pop,1	POPULAR,Masculino,1996,23,Joven,Sin pertenencia étnica,Ninguno,Básica Primaria,Buscando trabajo,Nororiental,"0,519452051965324","0,757801756650705","0,638626904308015","0,186045535685194","0,155121533781616","0,170583534733405","0,611909548329969","0,241620428578924","0,426764988454447","0,36","0,34"
